schemaVersion,runId,time,agent,position,x,y,target,action,actionSource,pathLength,stepDistance,totalDisplacement,moveUsePosition,moveX,moveY,clearTarget,clearUseTarget,clearX,clearY,clearRequestTarget,moveRequestTarget,moveCount,clearCount,restCount,otherActionCount,targetChangeCount,samePositionStreak,maxSamePositionStreak,possibleStuck,stuckStatus,failedMoveStreak,confirmedStuckEvents,clearModuleCalls,clearNullResults,clearActionResults,clearMoveResults,clearRestResults,moveModuleCalls,moveNullResults,moveActionResults,moveRestResults,fallbackRestCount,clearCalcUs,moveCalcUs
"URF_POLICE_OBS_V2","20260912-212916",1,1194565857,8572,529423.0,918034.0,56830,"MOVE","MOVE_MODULE",9,0.0,0.0,false,0,0,,false,0,0,56830,56830,1,0,0,0,1,0,0,false,"MOVE_PENDING",0,0,1,1,0,0,0,1,0,1,0,0,14.487,15.449
"URF_POLICE_OBS_V2","20260912-212916",2,1194565857,8572,529348.0,918798.0,56830,"MOVE","MOVE_MODULE",9,767.6724561946977,767.6724561946977,false,0,0,,false,0,0,56830,56830,2,0,0,0,1,1,1,false,"MOVE_PENDING",0,0,2,2,0,0,0,2,0,2,0,0,36.679,20.468
"URF_POLICE_OBS_V2","20260912-212916",3,1194565857,8572,529531.0,919076.0,56830,"MOVE","MOVE_MODULE",9,332.8257802514703,1100.498236446168,false,0,0,,false,0,0,56830,56830,3,0,0,0,1,2,2,false,"MOVE_PENDING",1,0,3,3,0,0,0,3,0,3,0,0,30.748,37.84
"URF_POLICE_OBS_V2","20260912-212916",4,1194565857,8572,514797.0,885274.0,56830,"MOVE","MOVE_MODULE",9,36873.64858540581,37974.14682185198,false,0,0,,false,0,0,56830,56830,4,0,0,0,1,3,3,false,"MOVE_PENDING",0,0,4,4,0,0,0,4,0,4,0,0,8.165,10.74
"URF_POLICE_OBS_V2","20260912-212916",5,1194565857,5784,509488.0,859419.0,56830,"MOVE","MOVE_MODULE",7,26394.440816202186,64368.58763805417,false,0,0,,false,0,0,56830,56830,5,0,0,0,1,0,3,false,"MOVE_PENDING",0,0,5,5,0,0,0,5,0,5,0,0,14.618,6.613
"URF_POLICE_OBS_V2","20260912-212916",6,1194565857,6152,544000.0,845134.0,56830,"CLEAR","CLEAR_MODULE",0,37351.56447861321,101720.15211666738,false,0,0,2140743940,true,0,0,56830,56830,5,1,0,0,1,0,3,false,"CLEARING",0,0,6,5,1,0,0,5,0,5,0,0,13966.399,6.613
"URF_POLICE_OBS_V2","20260912-212916",7,1194565857,6152,544000.0,845134.0,56830,"MOVE","MOVE_MODULE",5,0.0,101720.15211666738,false,0,0,,false,0,0,56830,56830,6,1,0,0,1,1,3,false,"MOVE_PENDING",0,0,7,6,1,0,0,6,0,6,0,0,29.986,19.196
"URF_POLICE_OBS_V2","20260912-212916",8,1194565857,3916,577828.0,827754.0,56830,"MOVE","MOVE_MODULE",3,38031.53933250665,139751.69144917402,false,0,0,,false,0,0,56830,56830,7,1,0,0,1,0,3,false,"MOVE_PENDING",0,0,8,7,1,0,0,7,0,7,0,0,11.131,5.22
"URF_POLICE_OBS_V2","20260912-212916",9,1194565857,56830,575812.0,814888.0,43167,"MOVE","MOVE_MODULE",52,13022.98782921953,152774.67927839354,false,0,0,,false,0,0,43167,43167,8,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,9,8,1,0,0,8,0,8,0,0,12.573,488.553
"URF_POLICE_OBS_V2","20260912-212916",10,1194565857,17779,563347.0,836699.0,43167,"MOVE","MOVE_MODULE",48,25121.623076545035,177896.30235493858,false,0,0,,false,0,0,43167,43167,9,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,10,9,1,0,0,9,0,9,0,0,11.251,464.488
"URF_POLICE_OBS_V2","20260912-212916",11,1194565857,17770,526470.0,852985.0,43167,"MOVE","MOVE_MODULE",46,40313.111080639756,218209.41343557835,false,0,0,,false,0,0,43167,43167,10,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,11,10,1,0,0,10,0,10,0,0,34.314,310.901
"URF_POLICE_OBS_V2","20260912-212916",12,1194565857,15628,490333.0,870824.0,43167,"MOVE","MOVE_MODULE",44,40300.2815126644,258509.69494824274,false,0,0,,false,0,0,43167,43167,11,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,12,11,1,0,0,11,0,11,0,0,24.886,829.62
"URF_POLICE_OBS_V2","20260912-212916",13,1194565857,15538,454934.0,889972.0,43167,"MOVE","MOVE_MODULE",38,40245.9327758719,298755.62772411463,false,0,0,,false,0,0,43167,43167,12,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,13,12,1,0,0,12,0,12,0,0,25.969,121.998
"URF_POLICE_OBS_V2","20260912-212916",14,1194565857,15556,419019.0,908009.0,43167,"MOVE","MOVE_MODULE",36,40189.807090853275,338945.4348149679,false,0,0,,false,0,0,43167,43167,13,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,14,13,1,0,0,13,0,13,0,0,8.666,91.571
"URF_POLICE_OBS_V2","20260912-212916",15,1194565857,15484,381039.0,921309.0,43167,"MOVE","MOVE_MODULE",33,40241.401566048866,379186.83638101676,false,0,0,,false,0,0,43167,43167,14,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,15,14,1,0,0,14,0,14,0,0,24.476,197.389
"URF_POLICE_OBS_V2","20260912-212916",16,1194565857,15502,343326.0,932060.0,43167,"MOVE","MOVE_MODULE",30,39215.48635424531,418402.3227352621,false,0,0,,false,0,0,43167,43167,15,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,16,15,1,0,0,15,0,15,0,0,28.213,98.585
"URF_POLICE_OBS_V2","20260912-212916",17,1194565857,15511,308603.0,941852.0,43167,"MOVE","MOVE_MODULE",28,36077.27807083012,454479.6008060922,false,0,0,,false,0,0,43167,43167,16,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,17,16,1,0,0,16,0,16,0,0,11.141,177.692
"URF_POLICE_OBS_V2","20260912-212916",18,1194565857,15925,273312.0,945008.0,43167,"MOVE","MOVE_MODULE",25,35431.83620700457,489911.43701309676,false,0,0,,false,0,0,43167,43167,17,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,18,17,1,0,0,17,0,17,0,0,8.866,40.566
"URF_POLICE_OBS_V2","20260912-212916",19,1194565857,15970,237826.0,951859.0,43167,"MOVE","MOVE_MODULE",21,36141.283831651584,526052.7208447483,false,0,0,,false,0,0,43167,43167,18,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,19,18,1,0,0,18,0,18,0,0,15.469,57.998
"URF_POLICE_OBS_V2","20260912-212916",20,1194565857,15898,204741.0,958522.0,43167,"MOVE","MOVE_MODULE",13,33749.26360678111,559801.9844515295,false,0,0,,false,0,0,43167,43167,19,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,20,19,1,0,0,19,0,19,0,0,23.123,35.116
"URF_POLICE_OBS_V2","20260912-212916",21,1194565857,15835,169530.0,965836.0,43167,"MOVE","MOVE_MODULE",7,35962.607205262524,595764.591656792,false,0,0,,false,0,0,43167,43167,20,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,21,20,1,0,0,20,0,20,0,0,8.957,5.48
"URF_POLICE_OBS_V2","20260912-212916",22,1194565857,7762,142614.0,965471.0,43167,"MOVE","MOVE_MODULE",4,26918.47471533259,622683.0663721246,false,0,0,,false,0,0,43167,43167,21,1,0,0,2,0,3,false,"MOVE_PENDING",0,0,22,21,1,0,0,21,0,21,0,0,29.836,23.353
"URF_POLICE_OBS_V2","20260912-212916",23,1194565857,1168,147029.0,945992.0,43167,"CLEAR","CLEAR_MODULE",0,19973.07352412242,642656.1398962471,false,0,0,2140741964,true,0,0,43167,43167,21,2,0,0,2,0,3,false,"CLEARING",0,0,23,21,2,0,0,21,0,21,0,0,43.942,23.353
"URF_POLICE_OBS_V2","20260912-212916",24,1194565857,1168,147029.0,945992.0,43167,"MOVE","MOVE_MODULE",1,0.0,642656.1398962471,false,0,0,,false,0,0,43167,43167,22,2,0,0,2,1,3,false,"MOVE_PENDING",0,0,24,22,2,0,0,22,0,22,0,0,9.057,3.486
"URF_POLICE_OBS_V2","20260912-212916",25,1194565857,43167,146036.0,945152.0,25405,"MOVE","MOVE_MODULE",44,1300.634076133637,643956.7739723807,false,0,0,,false,0,0,25405,25405,23,2,0,0,3,0,3,false,"MOVE_PENDING",0,0,25,23,2,0,0,23,0,23,0,0,14.998,1461.822
"URF_POLICE_OBS_V2","20260912-212916",26,1194565857,7744,130981.0,947286.0,25405,"MOVE","MOVE_MODULE",39,15205.491803950308,659162.265776331,false,0,0,,false,0,0,25405,25405,24,2,0,0,3,0,3,false,"MOVE_PENDING",0,0,26,24,2,0,0,24,0,24,0,0,21.07,442.898
"URF_POLICE_OBS_V2","20260912-212916",27,1194565857,15718,102957.0,925567.0,25405,"MOVE","MOVE_MODULE",35,35455.03542516916,694617.3012015001,false,0,0,,false,0,0,25405,25405,25,2,0,0,3,0,3,false,"MOVE_PENDING",0,0,27,25,2,0,0,25,0,25,0,0,26.82,1125.984
"URF_POLICE_OBS_V2","20260912-212916",28,1194565857,15718,82222.0,891256.0,25405,"MOVE","MOVE_MODULE",35,40089.71122370427,734707.0124252044,false,0,0,,false,0,0,25405,25405,26,2,0,0,3,1,3,false,"MOVE_PENDING",0,0,28,26,2,0,0,26,0,26,0,0,12.113,607.405
"URF_POLICE_OBS_V2","20260912-212916",29,1194565857,4623,65194.0,861080.0,25405,"MOVE","MOVE_MODULE",33,34648.8637620341,769355.8761872385,false,0,0,,false,0,0,25405,25405,27,2,0,0,3,0,3,false,"MOVE_PENDING",0,0,29,27,2,0,0,27,0,27,0,0,9.688,506.496
"URF_POLICE_OBS_V2","20260912-212916",30,1194565857,11560,90694.0,832018.0,25405,"MOVE","MOVE_MODULE",32,38663.28806503658,808019.164252275,false,0,0,,false,0,0,25405,25405,28,2,0,0,3,0,3,false,"MOVE_PENDING",0,0,30,28,2,0,0,28,0,28,0,0,25.087,1171.058
"URF_POLICE_OBS_V2","20260912-212916",31,1194565857,11560,117422.0,802384.0,25405,"MOVE","MOVE_MODULE",32,39906.89088365567,847926.0551359307,false,0,0,,false,0,0,25405,25405,29,2,0,0,3,1,3,false,"MOVE_PENDING",0,0,31,29,2,0,0,29,0,29,0,0,27.351,1503.28
"URF_POLICE_OBS_V2","20260912-212916",32,1194565857,11560,144777.0,772947.0,25405,"MOVE","MOVE_MODULE",32,40184.98468333664,888111.0398192673,false,0,0,,false,0,0,25405,25405,30,2,0,0,3,2,3,false,"MOVE_PENDING",0,0,32,30,2,0,0,30,0,30,0,0,21.269,1699.275
"URF_POLICE_OBS_V2","20260912-212916",33,1194565857,11479,171769.0,743321.0,25405,"MOVE","MOVE_MODULE",30,40078.27266736929,928189.3124866367,false,0,0,,false,0,0,25405,25405,31,2,0,0,3,0,3,false,"MOVE_PENDING",0,0,33,31,2,0,0,31,0,31,0,0,7.704,539.318
